ID,site,year,sl,body_depth,ap_length,ap_width,Jaw_length,ppl,ppw,dorsal_1,dorsal_2,pelvic_spine,sex,lp_no,rp_no
HG220317,lake,2022,48.45,10.89,5.66,1.22,3.2,5.98,1.94,2.02,3.46,4.83,F,2,2
HG220318,lake,2022,44.15,10.32,5.11,1.18,2.7,5.04,1.65,1.99,3.31,4.31,F,3,2
HG220319,lake,2022,47.64,11.34,5.76,0.95,3.18,6.36,1.82,2.74,3.45,4.62,F,1,2
HG220320,lake,2022,48.99,11.19,5.12,0.95,3.44,5.27,2.08,3.28,3.99,4.71,M,2,3
HG220321,lake,2022,52.71,13.62,6.16,1.22,4.03,6.78,2.32,3.14,3.63,5.43,M,3,4
HG220322,lake,2022,60.47,14.38,5.83,1.02,4.93,6.8,3.11,3.57,3.91,4.74,M,0,1
HG220323,lake,2022,50.51,12.42,5.94,1.24,4.1,6.68,1.85,3.1,4.25,4.24,M,3,3
HG220324,lake,2022,52.8,12.66,6.52,1.37,4.14,7.31,2.17,3.19,3.69,6.14,M,2,2
HG220325,lake,2022,46.45,10.55,5.31,1.16,2.89,5.4,2.12,2.94,4.07,4.91,F,2,2
HG220326,lake,2022,57.74,13.71,6.53,1.58,4.41,6.35,2.6,3.23,3.46,5.32,M,4,4
HG220327,lake,2022,52.76,13.35,5.65,1.59,4.05,7.35,2.53,3.7,3.7,5.22,M,2,2
HG220328,lake,2022,55.39,12.14,6.02,1.25,3.09,7.22,2.29,3.62,3.95,5.76,F,2,1
HG220329,lake,2022,49.48,11.62,5.69,1.28,3.19,7.07,2.03,3.13,3.87,5.48,F,2,0
HG220330,lake,2022,47.4,11.3,5.73,1.35,3.36,5.66,2.01,NA,3.36,3.26,F,3,2
HG220331,lake,2022,53.21,12.45,5.8,1.38,3.98,5.42,2.17,NA,4.11,4.93,M,2,3
HG220332,lake,2022,55.6,13.11,6.02,1.42,4.18,7.48,2.32,3.94,4.86,6.17,F,3,3
