ID,site,year,sl,body_depth,ap_length,ap_width,Jaw_length,ppl,ppw,dorsal_1,dorsal_2,pelvic_spine,sex,lp_no,rp_no
HG220388,lake,2018,60.16,14.31,5.33,1.24,3.89,8.58,3.18,2.62,3.28,4.26,M,3,3
HG220389,lake,2018,44.52,10.74,4.96,0.91,2.78,5.9,1.78,2.21,3.71,3.54,F,3,3
HG220390,lake,2018,66.55,14.96,6.04,1.97,5.12,9.12,3.56,3.35,3.88,6.17,F,4,3
HG220391,lake,2018,42.81,10.44,5.47,0.91,3.05,5.13,1.7,2.54,2.91,4.49,M,1,3
HG220392,lake,2018,46.03,10.96,5.26,1.13,3.02,6.55,1.76,3.22,3.77,4.96,F,3,3
HG220393,lake,2018,50.48,12.1,5.42,1.15,3.91,6.4,1.94,2.88,3.54,5.01,M,3,3
HG220394,lake,2018,48.96,11.16,5.12,1.21,3.13,6.83,1.84,2.84,3.81,5.01,F,2,2
HG220395,lake,2018,46.73,10.85,5.49,0.81,3.69,6,2.11,2.62,3.07,3.99,M,3,3
HG220396,lake,2018,43.48,10.96,5.09,0.82,3.56,6.38,1.86,2.81,3.18,5.17,M,1,0
HG220397,lake,2018,42.66,9.87,5.01,0.64,2.56,5.42,1.86,2.23,3.16,4.53,F,0,0
HG220398,lake,2018,45.16,10.27,5.34,1.3,3.1,6.33,1.41,2.59,3.57,4.49,F,3,3
HG220399,lake,2018,44.02,10.17,4.7,0.97,2.88,5.68,1.6,2.63,3.36,4.41,F,3,3
HG220400,lake,2018,48.98,11.56,5.56,1.15,3.86,6.45,2.32,3.46,3.8,5.22,F,1,0
HG220401,lake,2018,43.78,10.43,5.01,1,3.09,5.93,1.58,2.6,3.52,4.83,F,3,3
HG220402,lake,2018,47.65,10.86,5.15,1.22,3.18,5.83,1.78,2.41,3.7,4.57,F,2,3
HG220403,lake,2018,44.84,10.85,4.81,0.87,2.64,5.36,1.97,2.56,3.11,4.44,F,4,3
HG220404,lake,2018,48.32,11.89,5.84,1.04,3.43,6.86,2.31,3.04,3.65,5.13,F,2,0
HG220405,lake,2018,46.74,11.47,5.25,0.78,3.16,5.25,1.8,2.2,2.5,3.97,M,0,0
HG220406,lake,2018,45.94,10.95,5.27,1.27,3.16,5.29,1.74,2.66,2.67,4.34,M,0,0
HG220407,lake,2018,45.53,10.78,4.9,1.16,3.17,5.75,1.61,2.96,3.37,4.76,M,3,0
HG220408,lake,2018,47.1,10.93,5.3,0.74,2.93,5.28,1.58,3.05,3.51,4.73,F,2,2
HG220409,lake,2018,38.37,8.54,4.39,0.6,2.21,5.04,1.35,2.25,2.61,3.77,F,1,0
HG220410,lake,2018,40.79,10.09,4.48,0.85,2.84,5.62,1.5,2.61,3.12,3.93,M,0,0
HG220411,lake,2018,44.73,10.58,5.94,0.97,2.96,6.3,1.65,3.29,3.87,5.31,F,2,2
HG220412,lake,2018,38.24,8.76,4.04,0.8,2.16,4.82,1.49,2.36,3.06,4.4,F,2,2
HG220413,lake,2018,43.06,10.06,4.87,0.95,2.7,5.93,1.6,2.98,3.5,4.76,F,4,2
HG220414,lake,2018,41.52,10.13,4.59,0.9,2.78,5.79,1.81,2.75,3.49,4.47,F,2,0
HG220415,lake,2018,44.49,10.06,4.94,0.94,3.12,6.55,1.37,2.65,3.4,4.89,F,2,1
HG220416,lake,2018,41.66,9.56,4.83,0.69,2.19,6.16,1.6,2.24,2.73,4.47,F,2,0
HG220417,lake,2018,41.39,10.28,4.33,0.72,3.28,5.53,1.55,1.96,2.74,3.99,F,1,0
HG220418,lake,2018,41.9,9.65,4.22,0.85,2.38,5.5,1.63,2.73,3.18,4.47,F,3,3
HG220419,lake,2018,38.16,9.17,4.76,0.87,2.29,5.17,1.44,2.38,2.75,3.96,F,1,1
HG220420,lake,2018,37.84,9.09,4.26,0.8,2.5,6.2,1.59,2.34,3.1,3.63,M,2,2
HG220421,lake,2018,43,10.99,5.01,1.03,3.19,5.83,1.83,2.62,2.88,4.13,M,2,3
HG220422,lake,2018,41.13,10.56,4.92,0.79,2.92,6.41,1.46,2.59,3.29,4.78,M,2,1
HG220423,lake,2018,38.11,8.54,4.21,0.76,2.43,4.93,1.27,1.74,2.59,3.39,F,1,1
HG220424,lake,2018,44.88,10.43,4.73,0.86,3.13,6.7,1.59,3.35,3.6,4.5,M,2,3
HG220425,lake,2018,39.53,9.28,4.65,0.54,2.7,5.26,1.72,2.29,2.81,4.19,F,1,1
HG220426,lake,2018,39.98,9.11,4.66,0.71,2.79,5.4,1.62,2.2,3.18,4.63,M,2,3
HG220427,lake,2018,36.32,8.67,4.7,0.92,2.5,5.46,1.38,NA,2.85,3.82,M,1,1
HG220428,lake,2018,38.77,10.05,4.14,0.76,3,6.01,1.46,NA,3.24,4.55,M,0,0
HG220430,lake,2013,54.19,13.44,7.34,1.3,4.32,7.95,2.83,3.1,3.67,5.41,M,0,3
HG220431,lake,2013,60.04,14.05,5.79,1.33,4.37,7.44,3.29,2.69,3.72,5.21,F,2,0
HG220432,lake,2013,61.09,15.78,7.21,1.52,4.84,8.96,4.03,1.93,4.06,5.91,F,1,1
HG220433,lake,2013,52.63,12.67,6.43,1.11,3.88,6.59,2.72,2.03,3.38,5.15,F,0,0
HG220434,lake,2013,69.27,16.14,7.31,1.27,4.81,8.16,4.33,2.6,3.31,5.18,F,2,1
HG220435,lake,2013,53.9,12.76,6.12,0.94,3.74,7.17,2.58,2.84,3.55,4.82,F,0,0
HG220436,lake,2013,62.74,14.49,5.83,1.32,4.51,7.93,3.96,NA,3.06,5.45,F,0,0
HG220437,lake,2013,53.87,13.24,6.41,1.25,4.07,6.85,2.59,3.15,3.86,4.86,F,0,0
HG220438,lake,2013,56.13,13.25,7.11,1.28,3.81,6.94,2.93,2.8,4.02,5.42,F,1,0
HG220439,lake,2013,65.63,14.8,7.28,1.06,5.2,7.83,4.3,3.6,4.03,4.72,F,2,2
HG220440,lake,2013,53.47,13.51,6.37,1.1,3.69,7.33,2.62,3.49,4.07,5.41,F,2,2
HG220441,lake,2013,52.76,12.64,5.52,1.26,3.17,6.95,2.77,2.79,3.42,5.04,F,3,3
HG220442,lake,2013,51.86,12.25,5.97,1.01,3.63,6.94,2.84,3.65,4.63,5.77,F,1,1
HG220443,lake,2012,45.34,11.26,5.62,0.93,3.91,5.11,2.08,2.84,3.44,5.02,M,0,1
HG220446,lake,2012,60.83,14.3,6.24,1.47,4.58,7.12,3.17,2.59,3.23,4.42,M,0,1
HG220447,lake,2012,69.25,14.77,8.01,1.33,4.72,9.93,3.81,3.91,4.26,4.68,F,0,0
HG220448,lake,2012,59.34,15.46,7.84,1.86,4.68,7.89,3.45,2.85,3.02,4.46,M,1,1
HG220449,lake,2012,59.8,15.32,6.72,1.12,5.1,7.84,3.74,2.33,2.72,4.83,M,0,0
HG220450,lake,2012,64.38,14.68,6.11,1.46,4.89,8.87,3.77,3.4,3.92,5.92,F,3,3
HG220451,lake,2012,56.31,13.57,6.65,1.12,4.01,7.4,3.15,3.43,4.19,5.84,F,1,3
HG220452,lake,2012,59.71,14.76,6.87,1.05,4.09,7.71,3.72,2.86,3.95,4.25,F,1,0
HG220453,lake,2012,61.91,15.26,8.29,1.67,4.33,9.38,3.57,2.72,3.57,4.37,F,0,0
HG220454,lake,2012,61,14.75,7.15,1.16,3.87,7.01,2.97,1.94,2.86,4.86,F,2,2
HG220455,lake,2012,40.13,9.73,5.19,0.79,2.8,4.72,1.74,2.19,2.73,4.34,M,0,0
HG220456,lake,2012,59.64,14.62,5.89,1.24,4.86,7.27,4.37,NA,3.73,4.89,F,0,1
HG220457,lake,2012,57.07,13.62,5.94,1.25,4.33,8.17,3.48,NA,3.33,5.53,F,0,0
HG220458,lake,2012,52.94,14.55,5.72,1.46,4.39,6.96,3.35,2.55,2.79,4.6,F,3,3
HG220460,lake,2007,69.68,15.29,7.26,1.03,4.61,8.76,4.24,3.29,3.68,4.63,F,0,0
HG220461,lake,2007,68.29,15.22,7.57,1.5,4.6,9.38,3.98,2.12,4.35,NA,F,0,0
HG220462,lake,2007,63.53,13.32,7.01,1.68,4.3,8.01,3.27,3.77,3.77,4.88,F,0,0
HG220463,lake,2007,65.2,14.64,7.49,1.3,4.64,8.58,4.15,2.18,2.38,4.83,F,0,0
HG220464,lake,2007,63.85,14.5,7.63,1.36,4.66,9.21,4.29,2.68,NA,4.75,F,0,0
HG220465,lake,2007,61.96,14.4,6.97,1.68,4.83,7.68,3.05,3.47,3.68,5.33,M,2,2
HG220466,lake,2007,49.72,10.69,4.74,0.89,3.89,6.08,2.33,NA,NA,3.8,M,1,0
HG220467,lake,2007,67.52,15.62,7.73,1.37,4.94,9.24,3.76,3.65,3.65,6.11,F,0,0
HG220468,lake,2007,63.46,14.13,6.49,1.35,5.15,8.62,3.21,NA,3.27,4.78,M,1,2
HG220469,lake,2007,60.56,13.3,6.04,0.98,4.27,8.38,4.08,NA,NA,4.6,F,0,0
HG220470,lake,2007,68.12,14.3,8.49,1.39,4.6,9.77,4.04,3.01,3.27,5.7,F,0,0
HG220471,lake,2007,60.5,14.63,6.56,1.06,5.03,7.37,3.33,NA,2.75,4.4,M,1,0
HG220472,lake,2007,62.14,14.28,7.84,1.11,4.14,8.61,3.92,3.12,3.31,5.37,F,0,0
HG220473,lake,2007,65.65,15.5,7.77,1.08,4.89,9.22,3.87,NA,3.38,NA,F,2,2
HG220474,lake,2007,57.38,13.56,7.36,1.2,4.77,8.26,2.88,2.54,2.83,4.68,M,1,0
HG220475,lake,2007,56.58,12.91,5.57,1.13,4.38,6.83,3.62,1.98,2.92,3.86,M,0,2
HG220476,lake,2007,52.48,12.33,6.57,1.3,4.64,7.81,2.49,2.59,2.84,4.4,M,1,1
HG220477,lake,2007,38.95,8.4,4.6,0.87,2.56,5.9,1.31,NA,2.62,4.39,F,1,1
HG220508,outlet,2022,49.22,12.06,5.55,0.85,4.03,7.33,1.84,3.16,3.7,4.62,F,2,2
